sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
144;SDS011;3528;-0.286;36.067;2022-11-25T10:50:30.086343+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:50:30.086343+00:00;P1;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:51:09.736563+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:51:09.736563+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:51:09.738893+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:51:09.738893+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:51:50.272775+00:00;P2;2
144;SDS011;3528;-0.286;36.067;2022-11-25T10:51:50.272775+00:00;P1;2
145;DHT22;3528;-0.286;36.067;2022-11-25T10:51:50.317445+00:00;humidity;63
145;DHT22;3528;-0.286;36.067;2022-11-25T10:51:50.317445+00:00;temperature;31
145;DHT22;3528;-0.286;36.067;2022-11-25T10:52:49.552701+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:52:49.552701+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:52:50.961800+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:52:50.961800+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:53:09.965558+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:53:09.965558+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:53:09.968731+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:53:09.968731+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:53:49.789453+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:53:49.789453+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:53:51.153214+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:53:51.153214+00:00;P1;6
144;SDS011;3528;-0.286;36.067;2022-11-25T10:54:30.313384+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:54:30.313384+00:00;P1;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:55:29.120428+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:55:29.120428+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2022-11-25T10:55:29.122146+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:55:29.122146+00:00;temperature;28
145;DHT22;3528;-0.286;36.067;2022-11-25T10:55:50.079104+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:55:50.079104+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:55:51.339729+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:55:51.339729+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T10:56:29.317768+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:56:29.317768+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T10:56:29.355298+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:56:29.355298+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2022-11-25T10:57:10.232747+00:00;humidity;64
145;DHT22;3528;-0.286;36.067;2022-11-25T10:57:10.232747+00:00;temperature;30
144;SDS011;3528;-0.286;36.067;2022-11-25T10:57:10.373652+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T10:57:10.373652+00:00;P1;7
145;DHT22;3528;-0.286;36.067;2022-11-25T10:58:09.544515+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2022-11-25T10:58:09.544515+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T10:58:09.547587+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:58:09.547587+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2022-11-25T10:58:29.533347+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T10:58:29.533347+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T10:58:29.547072+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T10:58:29.547072+00:00;P1;9
145;DHT22;3528;-0.286;36.067;2022-11-25T10:59:09.783649+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2022-11-25T10:59:09.783649+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T10:59:09.783970+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:59:09.783970+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2022-11-25T10:59:50.425172+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T10:59:50.425172+00:00;temperature;29
144;SDS011;3528;-0.286;36.067;2022-11-25T10:59:51.528290+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T10:59:51.528290+00:00;P1;6
145;DHT22;3528;-0.286;36.067;2022-11-25T11:00:50.456604+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T11:00:50.456604+00:00;temperature;27
144;SDS011;3528;-0.286;36.067;2022-11-25T11:00:50.457479+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T11:00:50.457479+00:00;P1;4
145;DHT22;3528;-0.286;36.067;2022-11-25T11:01:10.107530+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2022-11-25T11:01:10.107530+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T11:01:10.144741+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T11:01:10.144741+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2022-11-25T11:01:50.720082+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T11:01:50.720082+00:00;temperature;27
144;SDS011;3528;-0.286;36.067;2022-11-25T11:01:50.730072+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T11:01:50.730072+00:00;P1;4
145;DHT22;3528;-0.286;36.067;2022-11-25T11:02:29.756589+00:00;humidity;67
145;DHT22;3528;-0.286;36.067;2022-11-25T11:02:29.756589+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T11:02:29.768038+00:00;P2;5
144;SDS011;3528;-0.286;36.067;2022-11-25T11:02:29.768038+00:00;P1;9
144;SDS011;3528;-0.286;36.067;2022-11-25T11:03:30.587908+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T11:03:30.587908+00:00;P1;5
145;DHT22;3528;-0.286;36.067;2022-11-25T11:03:30.588772+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T11:03:30.588772+00:00;temperature;27
145;DHT22;3528;-0.286;36.067;2022-11-25T11:03:50.969296+00:00;humidity;65
145;DHT22;3528;-0.286;36.067;2022-11-25T11:03:50.969296+00:00;temperature;27
144;SDS011;3528;-0.286;36.067;2022-11-25T11:03:50.970084+00:00;P2;3
144;SDS011;3528;-0.286;36.067;2022-11-25T11:03:50.970084+00:00;P1;4
144;SDS011;3528;-0.286;36.067;2022-11-25T11:04:30.842755+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T11:04:30.842755+00:00;P1;5
145;DHT22;3528;-0.286;36.067;2022-11-25T11:04:30.844387+00:00;humidity;69
145;DHT22;3528;-0.286;36.067;2022-11-25T11:04:30.844387+00:00;temperature;27
145;DHT22;3528;-0.286;36.067;2022-11-25T11:05:10.377079+00:00;humidity;72
145;DHT22;3528;-0.286;36.067;2022-11-25T11:05:10.377079+00:00;temperature;28
144;SDS011;3528;-0.286;36.067;2022-11-25T11:05:10.402603+00:00;P2;4
144;SDS011;3528;-0.286;36.067;2022-11-25T11:05:10.402603+00:00;P1;18
145;DHT22;3528;-0.286;36.067;2022-11-25T11:06:10.077498+00:00;humidity;70
